objectid,inv_id,invlocid,inc_site,inv_typ,inv_stat,datclosed,contamin,loc_descr,ca_typ,remmeth,excav_dpth,excav_vol,merla,contingncy,oldlocid,contact_nm,contact_ph,co_code,coordtyp,X,Y
11,   PLK101068048,181101010281,CITY OF ALDEN,E,C,2016-06-10T00:00:00Z,P,Alden, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.57337702799998,43.675245424000025
12,   PLK101044116,181101001639,CARGILL INC DBA BLUE EARTH/MARNA,E,C,2011-06-28T00:00:00Z,U,Emerald Twp,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,043,PHOTO,-94.00174894699995,43.60431860800003
13,      RWA253097,302101001345,BURLINGTON NORTHERN RAILROAD,C,A,NA,WP,Silver Brook Twp MP 29.0,U,U,NA,0,N,N,0000000879,Paul Haiker,(651) 201-6199,017,PHOTO,-92.34325549599998,46.62346520600005
14,   PLK101079455,181101011885,PROFESSIONAL TURF,E,C,2018-06-12T00:00:00Z,PF,Lakeville, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-93.22371911299996,44.63678542500003
15,   PLK101088523,181101013589,UNKNOWN,E,C,2019-02-12T00:00:00Z,F,Maple Grove, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.49786689899997,45.14350567700001
16,        92-0054,1209,VIKING FENCE & CONSTRUCTION CO,E,C,2009-09-09T00:00:00Z,WP,Paynesville Twp.,U,U,NA,0,N,N,0000001209,MDA Data Practices Records Mng,(651) 201-6698,145,MAP,-94.68551122999997,45.38857685500005
17,       CF-10707,17033,BELGRADE COOP ASSN,E,C,2006-06-13T00:00:00Z,AA,Crow Lake Twp.,NC,N,0,0,N,N,0000017033,MDA Data Practices Records Mng,(651) 201-6698,145,PHOTO,-95.05862651999996,45.467813492000005
18,   GCH101088649,181101013694,LEAF RIVER AG,E,C,2019-02-26T00:00:00Z,F,Wadena, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,159,PHOTO,-95.13543226299998,46.425948568000024
19,   PLK101085714,181101013635,ASHBY EQUITY ASSOCIATION,E,C,2019-12-05T00:00:00Z,PF,Pelican Lake Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,051,PHOTO,-95.835405622,46.037951634000024
20,   GCH101088672,181101013738,ALL AMERICAN COOP,E,C,2019-06-10T00:00:00Z,AA,Saint Charles, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,169,PHOTO,-92.068872107,43.96866333700001
21,        93-0124,2456,OSTRANDER CITY WATER DEPT,C,C,2008-03-25T00:00:00Z,U,Ostrander CITY WELL,U,U,NA,0,N,N,0000002456,MDA Data Practices Records Mng,(651) 201-6698,045,MAP,-92.42983112399997,43.612607113000024
22,   PLK101040733,181101001510,FARMERS UNION OIL,E,C,2011-02-17T00:00:00Z,AA,Montevideo, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,023,PHOTO,-95.73694566399996,44.94761489200005
23,   PLK101000667,71101000222,CPS,E,C,2009-03-17T00:00:00Z,AA,Pipestone,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,117,PHOTO,-96.30575013499998,44.00409181500004
24,   PLK101000840,181101000270,SCHMIDT,E,C,2009-07-01T00:00:00Z,U,Emmet Twp.,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.20858391399997,44.745429688
25,   PTH101111419,474101016710,CHANDLER COOP,E,C,2022-12-22T00:00:00Z,AA,Edgerton, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,117,PHOTO,-96.13390670999996,43.87161591100005
26,        CF-9407,15766,FARMERS UNION COOP OIL,E,C,2007-04-30T00:00:00Z,AA,Belle Creek Twp.,NC,N,0,0,N,N,0000015766,MDA Data Practices Records Mng,(651) 201-6698,049,PHOTO,-92.78037484999999,44.405987040000014
27,   PLK101088715,181101013764,"CHS, INC",E,C,2019-06-28T00:00:00Z,AA,Saint Hilaire, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,113,PHOTO,-96.21634846399996,48.00670426500005
28,   PLK101002548,181101000442,DNR,E,C,2009-06-29T00:00:00Z,U,Limestone Twp.,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,081,PHOTO,-96.10011814799998,44.45935548900002
29,   PLK101071014,181101010437,"CHS, BYRON",E,C,2016-12-05T00:00:00Z,F,Kalmar Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,109,PHOTO,-92.57338173699998,44.10117440800002
30,   PLK101081043,181101012244,HOCKING INTERNATIONAL,E,C,2018-09-06T00:00:00Z,F,Pipestone, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,117,PHOTO,-96.28688987699996,43.97642633800001
31,   PLK101028543,181101001408,LARSON,E,C,2010-09-29T00:00:00Z,U,Blue Earth Twp,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,013,PHOTO,-94.20052552099997,43.89460145100003
32,   LAB125000520,181101013273,TRAVELERS COUNTRY CLUB,E,C,2019-09-24T00:00:00Z,SP,Clear Lake Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,141,PHOTO,-93.98378916399997,45.446288913000046
33,        96-0173,6446,BURLINGTON NORTHERN RAILROAD,E,C,1998-01-28T00:00:00Z,AA,Cushing Twp. Along Tracks,P,O,0,0,N,N,0000006446,MDA Data Practices Records Mng,(651) 201-6698,097,PHOTO,-94.56926440499996,46.13489207700002
34,        96-0287,6557,HADER FARMS INC,E,C,1999-07-21T00:00:00Z,U,Haven Twp.,U,LA,NA,0,N,N,0000006557,MDA Data Practices Records Mng,(651) 201-6698,141,MAP,-94.117977607,45.51539899000005
35,        96-0303,6574,TRUGREEN/CHEMLAWN CORP,E,C,1996-06-18T00:00:00Z,U,Rochester,U,LA,NA,0,N,N,0000006574,MDA Data Practices Records Mng,(651) 201-6698,109,MAP,-92.46325502799999,44.036017887000014
36,        CF-5008,11291,CONTINENTAL NITROGEN,E,C,2000-12-21T00:00:00Z,F,Rosemount,U,U,NA,0,N,N,0000011291,MDA Data Practices Records Mng,(651) 201-6698,037,MAP,-93.02720375199999,44.75936465700005
37,   PLK101004886,181101000503,OLEEN,E,C,2010-01-26T00:00:00Z,U,Grand Rapids,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,061,PHOTO,-93.51074004099996,47.20643135100005
38,      RWA253100,2631144078,BURLINGTON NORTHERN RAILROAD,C,A,NA,WP,Motley MP 140.2,U,U,NA,0,N,N,0000007317,Paul Haiker,(651) 201-6199,021,PHOTO,-94.63406793899998,46.33941121100003
39,        96-1043,7318,BURLINGTON NORTHERN RAILROAD,C,C,2005-03-23T00:00:00Z,P,Sylvan Twp.,U,U,NA,0,N,N,0000007318,MDA Data Practices Records Mng,(651) 201-6698,021,MAP,-94.508366228,46.32357092400002
40,      RWA253103,263101001043,BURLINGTON NORTHERN RAILROAD,C,C,2016-03-01T00:00:00Z,WP,Perham Twp MP 187.1,U,U,NA,0,N,N,0000007319,MDA Data Practices Records Mng,(651) 201-6698,111,PHOTO,-95.53931220999999,46.576317098000004
41,      RWA253115,302101001349,BURLINGTON NORTHERN RAILROAD,C,C,2019-03-11T00:00:00Z,WP,Hinckley MP 71.6,U,U,NA,0,N,N,0000007320,MDA Data Practices Records Mng,(651) 201-6698,115,PHOTO,-92.935676597,46.01905817000005
42,      RWA253119,263101001080,BURLINGTON NORTHERN RAILROAD,C,A,NA,WP,Hibbing MP 3.3 near Keewatin,U,U,NA,0,N,N,0000007322,Paul Haiker,(651) 201-6199,137,PHOTO,-93.06691543400001,47.398352991000024
43,        96-1048,7323,BURLINGTON NORTHERN RAILROAD,C,C,1998-02-10T00:00:00Z,U,Moorhead,U,U,NA,0,N,N,0000007323,MDA Data Practices Records Mng,(651) 201-6698,027,MAP,-96.74667662399997,46.890578523000045
44,      RWA253122,263101001081,BURLINGTON NORTHERN RAILROAD,C,C,2019-03-11T00:00:00Z,WP,Big Lake Twp MP 43.1 near Elk River,U,U,NA,0,N,N,0000007325,MDA Data Practices Records Mng,(651) 201-6698,141,PHOTO,-93.65071544399996,45.32227491000003
45,        96-1051,7326,BURLINGTON NORTHERN RAILROAD,C,C,2006-03-31T00:00:00Z,WP,McGregor Twp.,U,U,NA,0,N,N,0000007326,MDA Data Practices Records Mng,(651) 201-6698,001,G5,-93.27561359599997,46.621168435000016
46,      RWA253109,302101001348,BURLINGTON NORTHERN RAILROAD,C,C,2017-09-12T00:00:00Z,WP,Rock Creek MP 58.3,U,U,NA,0,N,N,0000007328,MDA Data Practices Records Mng,(651) 201-6698,115,PHOTO,-92.962822947,45.76243846700004
47,        96-1054,7329,BURLINGTON NORTHERN RAILROAD,C,C,2004-01-08T00:00:00Z,U,Rock Creek Twp.,U,U,NA,0,N,N,0000007329,MDA Data Practices Records Mng,(651) 201-6698,115,MAP,-92.96297463399998,45.76641683700001
48,        96-1416,7691,HALVERSON FARMS,E,C,2009-03-16T00:00:00Z,U,Mandt Twp.,U,LA,NA,0,N,N,0000007691,MDA Data Practices Records Mng,(651) 201-6698,023,G5,-95.69637464499999,45.096645258000024
49,   PLK101048525,181101002224,BARD,E,C,2011-09-14T00:00:00Z,U,Edina,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.33668771499998,44.92877152300002
50,        CF-2042,8601,MIDWEST CONSOLIDATED COOP,E,C,1998-09-02T00:00:00Z,F,Cyrus 200 gal spill in liq. fert dike,EX,LA,0.5,NA,N,N,0000008601,MDA Data Practices Records Mng,(651) 201-6698,121,PHOTO,-95.73927588699996,45.61330555500001
51,   EJK101112087,474101016816,KOCH FERTILIZER LLC,E,C,2023-01-27T00:00:00Z,AA,Dublin Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,151,PHOTO,-95.42483061899998,45.237085347000004
52,   PLK101066082,181101009805,RIVER COUNTRY COOP,E,C,2016-08-31T00:00:00Z,AA,Marshan Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-92.79298586799996,44.68905371300002
53,        CF-2471,8712,CENTRAL COOP,E,C,1999-04-12T00:00:00Z,AA,Ellendale,EX,U,NA,NA,N,N,0000008712,MDA Data Practices Records Mng,(651) 201-6698,147,PHOTO,-93.28831643499996,43.87067565800004
54,   MJJ101114626,474101017294,"BRANDEL, ALLEN",E,C,NA,F,Cokato, , ,NA,NA,N,N,NA,Jared Schmaedeke,(651) 201-6387,171,PHOTO,-94.19521377299998,45.07489719900002
55,        CF-2926,9247,CONTINENTAL NITROGEN & RESOURCE,E,C,2004-11-29T00:00:00Z,AA,Rosemount,U,U,NA,0,N,N,0000009247,MDA Data Practices Records Mng,(651) 201-6698,037,MAP,-93.03080789799998,44.760552367
56,   PLK101023207,181101000772,PRAIRIE LAKES COOP,E,C,2010-05-17T00:00:00Z,U,Glenwood,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,121,PHOTO,-95.37933647599999,45.66633006200004
57,        CF-3254,9580,MN VALLEY AG COOP,E,C,2003-11-12T00:00:00Z,P,Montgomery,U,U,NA,0,N,N,0000009580,MDA Data Practices Records Mng,(651) 201-6698,079,MAP,-93.58615820899996,44.433101892000025
58,   PLK101079228,181101011825,KOCH FERTILIZER,E,C,2017-12-06T00:00:00Z,F,Verdi Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,081,PHOTO,-96.35501537599998,44.209902691000025
59,   GCH101096640,181101015113,CEO AVIATION,E,C,2020-12-09T00:00:00Z,P,Langola Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,009,PHOTO,-94.20024170299996,45.78608962100003
60,        CF-4410,10702,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Thompson Twp. 02,U,U,NA,0,N,N,0000010702,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.79950005299997,48.72106666000002
61,        CF-4410,12860,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampton Twp. 01,U,U,NA,0,N,N,0000012860,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.00778081499999,48.861676923000005
62,        CF-4410,12862,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Tegner Twp. 04,U,U,NA,0,N,N,0000012862,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.886919272,48.68633323700004
63,        CF-4410,12863,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Clow Twp. 05,U,U,NA,0,N,N,0000012863,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.04086753499996,48.93435550200002
64,        CF-4410,12864,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Clow Twp. 06,U,U,NA,0,N,N,0000012864,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.040745636,48.9267648
65,        CF-4410,12865,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Clow Twp. 07,U,U,NA,0,N,N,0000012865,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.97482291399996,48.930336994000015
66,        CF-4410,12866,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Clow Twp. 08,U,U,NA,0,N,N,0000012866,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.96410249600001,48.919665151000004
67,        CF-4410,12868,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Clow Twp. 10,U,U,NA,0,N,N,0000012868,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.964252708,48.91777025700003
68,        CF-4410,12869,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Clow Twp. 11,U,U,NA,0,N,N,0000012869,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.97517086699997,48.912381580000044
69,        CF-4410,12870,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Clow Twp. 12,U,U,NA,0,N,N,0000012870,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.01898914399999,48.912642253
70,        CF-4410,12871,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Granville Twp. 13,U,U,NA,0,N,N,0000012871,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.887435735,48.84006757200001
71,        CF-4410,12872,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Granville Twp. 14,U,U,NA,0,N,N,0000012872,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.83330639799999,48.83300117800002
72,        CF-4410,12874,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hallock Twp. 16,U,U,NA,0,N,N,0000012874,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.01151662799998,48.745833352000034
73,        CF-4410,12875,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hallock Twp. 17,U,U,NA,0,N,N,0000012875,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.01823330599996,48.71710003700002
74,        CF-4410,12877,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 19,U,U,NA,0,N,N,0000012877,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.94289999899996,48.87654995600002
75,        CF-4410,12878,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 20N,U,U,NA,0,N,N,0000012878,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.00777589299997,48.862127042000054
76,        CF-4410,12879,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 21,U,U,NA,0,N,N,0000012879,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.93174130699998,48.86179742200005
77,        CF-4410,12880,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 22,U,U,NA,0,N,N,0000012880,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.99575753799996,48.86192391700001
78,        CF-4410,12881,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 23,U,U,NA,0,N,N,0000012881,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.99537455799998,48.862081190000026
79,        CF-4410,12883,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 25,U,U,NA,0,N,N,0000012883,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.996732167,48.84729405300004
80,        CF-4410,12884,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 26,U,U,NA,0,N,N,0000012884,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.97488339199998,48.833083316
81,        CF-4410,12885,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hill Twp. 27,U,U,NA,0,N,N,0000012885,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.08730004799997,48.867783305000046
82,        CF-4410,12886,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hill Twp. 28,U,U,NA,0,N,N,0000012886,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.065283362,48.81825003900002
83,        CF-4410,12888,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Richardville Twp. 30,U,U,NA,0,N,N,0000012888,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.83976066999998,48.968663623000054
84,        CF-4410,12889,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Skane Twp. 31,U,U,NA,0,N,N,0000012889,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.92151665099999,48.644550028000026
85,        CF-4410,12890,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Saint Vincent Twp. 32,U,U,NA,0,N,N,0000012890,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.08448339999995,48.91930002800001
86,        CF-4410,12891,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Saint Vincent Twp. 33,U,U,NA,0,N,N,0000012891,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.089433332,48.90495001800002
87,        CF-4410,12892,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Saint Vincent Twp. 34,U,U,NA,0,N,N,0000012892,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.15063329899999,48.99198335700004
88,        CF-4410,12894,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,South Red River Twp. 36,U,U,NA,0,N,N,0000012894,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.08531661399996,48.70353336100004
89,        CF-4410,12895,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,South Red River Twp. 37,U,U,NA,0,N,N,0000012895,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.079350068,48.67483329200002
90,        CF-4410,12897,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Tegner Twp. 39,U,U,NA,0,N,N,0000012897,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.88898061099997,48.68257406600003
91,        CF-4410,12898,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Tegner Twp. 40,U,U,NA,0,N,N,0000012898,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.795898099,48.659731161000025
92,        CF-4410,12899,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Thompson Twp. 41,U,U,NA,0,N,N,0000012899,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.86098331099998,48.73163330900002
93,        CF-4410,12902,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Thompson Twp. 44,U,U,NA,0,N,N,0000012902,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.89146669399997,48.72921664800003
94,        CF-4410,12903,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Davis Twp. 45,U,U,NA,0,N,N,0000012903,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.83522904,48.54350319900004
95,        CF-4410,12904,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Sinnott Twp. 46,U,U,NA,0,N,N,0000012904,MDA Data Practices Records Mng,(651) 201-6698,089,G25,-96.81311482499996,48.51453377400003
96,        CF-4410,12905,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Sinnott Twp. 47,U,U,NA,0,N,N,0000012905,MDA Data Practices Records Mng,(651) 201-6698,089,G25,-96.83482330300001,48.49997136400003
97,        CF-4410,12907,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 20NS,U,U,NA,0,N,N,0000012907,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-97.007702833,48.86189561500004
98,        CF-4410,12909,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Hampden Twp. 23B,U,U,NA,0,N,N,0000012909,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.98615662099996,48.86176183500004
99,        CF-4410,12910,AGRILIANCE,C,C,2003-07-22T00:00:00Z,P,Tegner Twp. 48,U,U,NA,0,N,N,0000012910,MDA Data Practices Records Mng,(651) 201-6698,069,G25,-96.77988256399999,48.652465740000025
100,        CF-4445,10738,UNKNOWN,E,C,2001-02-06T00:00:00Z,P,Harvey Twp. 56943 34th St,U,LD,NA,NA,Y,N,0000010738,MDA Data Practices Records Mng,(651) 201-6698,093,A1,-94.62601780399996,45.23942402100005
101,   PLK101090939,181101014291,VLAMINCK,E,C,2019-09-24T00:00:00Z,AA,Ghent, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,083,PHOTO,-95.89400536,44.51432136600005
102,        CF-9385,15746,CANNON VALLEY COOP,E,C,2005-01-10T00:00:00Z,AA,Kenyon,NC,N,0,0,N,N,0000015746,MDA Data Practices Records Mng,(651) 201-6698,049,PHOTO,-92.979494117,44.26519311200002
103,        CF-4594,10882,NORTHWEST GRAIN,E,C,2001-04-30T00:00:00Z,F,Parnell Twp.,U,U,NA,NA,Y,N,0000010882,MDA Data Practices Records Mng,(651) 201-6698,119,G5,-96.570576787,47.89209641100001
104,        CF-4206,10502,BARR ENGINEERING CO,C,C,2010-11-23T00:00:00Z,P,Minneapolis - Univ Ave at 32nd St,U,U,NA,0,Y,N,0000010502,MDA Data Practices Records Mng,(651) 201-6698,053,MAP,-93.26132053099997,45.02409679500005
105,       CF-10116,16419,CARGILL,E,C,2005-07-27T00:00:00Z,P,Crate Twp.,U,U,NA,NA,N,N,0000016419,MDA Data Practices Records Mng,(651) 201-6698,023,PHOTO,-95.47584304399999,44.985468043000026
106,        CF-5163,11556,"GUDAL, TIM",E,C,2001-07-02T00:00:00Z,P,Seely Twp.,U,U,NA,NA,Y,N,0000011556,MDA Data Practices Records Mng,(651) 201-6698,043,PHOTO,-93.84741557699999,43.546862635000025
107,        CF-5568,11874,CENTRAL LAKES AG CENTER,E,C,2008-04-15T00:00:00Z,P,Staples,U,U,NA,0,N,N,0000011874,MDA Data Practices Records Mng,(651) 201-6698,159,MAP,-94.80934539099997,46.389942964
108,        CF-6328,12614,AAA COURIERS,E,C,2002-02-27T00:00:00Z,N,Watab Twp.,U,U,NA,NA,Y,N,0000012614,MDA Data Practices Records Mng,(651) 201-6698,009,PHOTO,-94.17807947799997,45.65471628300003
109,        CF-6470,12828,POLK CO SOLID WASTE,C,C,2009-12-18T00:00:00Z,P,Fosston - DDT Incinerator Site,U,U,NA,0,N,N,0000012828,MDA Data Practices Records Mng,(651) 201-6698,119,MAP,-95.76042665199998,47.582943391000015
110,        CF-7095,13339,TRANSPORTATION MN DEPT OF,V,C,2007-03-29T00:00:00Z,WP,Fridley POINT NEAR SOUND WALL,U,U,NA,0,N,N,0000013339,MDA Data Practices Records Mng,(651) 201-6698,003,P4,-93.262300503,45.07028786300003
111,        CF-7095,13340,TRANSPORTATION MN DEPT OF,V,C,2007-03-29T00:00:00Z,WP,Saint Paul POINT NEAR SOUND WALL,U,U,NA,0,N,N,0000013340,MDA Data Practices Records Mng,(651) 201-6698,123,P4,-93.03733518899998,44.95277499000002
112,        CF-7095,13341,TRANSPORTATION MN DEPT OF,V,C,2007-03-29T00:00:00Z,WP,Saint Paul POINT NEAR SOUND WALL,U,U,NA,0,N,N,0000013341,MDA Data Practices Records Mng,(651) 201-6698,123,P4,-93.05006341999996,44.95281513200001
113,   PLK101088817,181101013813,"CHS, INC",E,C,2019-07-31T00:00:00Z,F,Grand Meadow Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,099,PHOTO,-92.58868089699996,43.70743585300005
114,        CF-7353,15165,MINNEAPOLIS COMMUNITY GARDENS,E,C,2008-03-25T00:00:00Z,P,Minneapolis GARDEN 7,U,U,NA,0,N,N,0000015165,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.25899488299996,44.95763943100002
115,        CF-7971,14291,PROGRESSIVE AG CENTER,E,C,2004-12-01T00:00:00Z,AA,Watopa Twp.,U,U,NA,0,N,N,0000014291,MDA Data Practices Records Mng,(651) 201-6698,157,P2,-91.99201385099997,44.216550079
